pdf_path,pdf_filename,well_family,rank,keyword,tfidf_score
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_31.pdf,15_9_19_A_1997_07_31.pdf,15_9_19,5,azimuth,0.349657
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_31.pdf,15_9_19_A_1997_07_31.pdf,15_9_19,6,turn,0.26628
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_31.pdf,15_9_19_A_1997_07_31.pdf,15_9_19,7,circulated clean,0.195454
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_31.pdf,15_9_19_A_1997_07_31.pdf,15_9_19,8,conditioning,0.187546
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_31.pdf,15_9_19_A_1997_07_31.pdf,15_9_19,9,problems,0.183958
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_31.pdf,15_9_19_A_1997_07_31.pdf,15_9_19,10,continue,0.159188
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_08_01.pdf,15_9_19_A_1997_08_01.pdf,15_9_19,1,directional,0.248483
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_08_01.pdf,15_9_19_A_1997_08_01.pdf,15_9_19,2,degrees,0.233564
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_08_01.pdf,15_9_19_A_1997_08_01.pdf,15_9_19,3,insert bit,0.233253
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_08_01.pdf,15_9_19_A_1997_08_01.pdf,15_9_19,4,turn right,0.208457
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_08_01.pdf,15_9_19_A_1997_08_01.pdf,15_9_19,5,gyro,0.198465
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_08_01.pdf,15_9_19_A_1997_08_01.pdf,15_9_19,6,right,0.189291
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_08_01.pdf,15_9_19_A_1997_08_01.pdf,15_9_19,7,gyro survey,0.181493
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_08_01.pdf,15_9_19_A_1997_08_01.pdf,15_9_19,8,insert,0.181493
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_08_01.pdf,15_9_19_A_1997_08_01.pdf,15_9_19,9,preparation,0.179448
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_08_01.pdf,15_9_19_A_1997_08_01.pdf,15_9_19,10,motor,0.166875
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_08_02.pdf,15_9_19_A_1997_08_02.pdf,15_9_19,1,window,0.173324
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_08_02.pdf,15_9_19_A_1997_08_02.pdf,15_9_19,2,side-entry sub,0.168633
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_08_02.pdf,15_9_19_A_1997_08_02.pdf,15_9_19,3,side-entry,0.164382
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_08_02.pdf,15_9_19_A_1997_08_02.pdf,15_9_19,4,lost,0.142501
