op_id,well_family,pdf_path,report_date,start_time,end_depth_md,main_activity,sub_activity,state,severity_score,severity_contributors,remark
10,15_9_19,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_27.pdf,1997-07-27,03:00,1110.0,interruption,,fail,6,REPAIR(+1)|state:fail(+5),BURST HYDRAULIC HOSE ON UPPER RACKING ARM - REPAIRED SAME. -- maintain
7049,15_9_F_12,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_F_12_2008_01_02.pdf,2008-01-02,19:15,0.0,drilling,casin,ok,6,FISHING(+6),POOH with the Spear assy. Racked back same in derrick. g
7068,15_9_F_12,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_F_12_2008_01_03.pdf,2008-01-03,20:15,0.0,drilling,c,ok,6,FISHING(+6),Held tool box prior to lay out Red Baron Spear assy. Performed same. asing
7117,15_9_F_12,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_F_12_2008_01_07.pdf,2008-01-07,23:30,2335.0,interruption,other,ok,6,EQUIPMENT_FAILURE(+4)|REPAIR(+1)|WAIT(+1),Held toolbox talk. Rigged down security net due to wrong allignment/position of PRS relative to scaffolding platform. Equipment Failure Information Start Depth Sub Equip -- Syst Class Operation Downtime Equipment Remark time mMD mTVD ((min)) Repaired 00:00 0 miscellaneous equ syst -- wellhead subsea run 0 00:00 Attempted to split and repair MS-seal setting tool - nogo. Waiting for new tool from test town.
6556,15_9_F_12,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_F_12_2007_08_06.pdf,2007-08-06,09:30,0.0,drilling,casin,ok,6,FISHING(+6),POOH and LO PADPRT. Measured lead impression block. Cleared and cleaned rig floor. g
6565,15_9_F_12,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_F_12_2007_08_07.pdf,2007-08-07,19:00,0.0,drilling,bop ac,ok,6,FISHING(+6),"Filled hole with 1.35 sg WBM and tested overshot seals. Closed shear ram and tested 14"" csg and shear ram 30/345 bar 5/15 min with cement unit. Pumped and bled back tivities 3 m3. Meanwhile RD diverter handling equipment and RU 5 1/2"" DP handling equipment."
6931,15_9_F_12,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_F_12_2007_09_10.pdf,2007-09-10,12:00,0.0,drilling,bop/wellh,ok,6,FISHING(+6),Held toolbox meeting prior to nippling BOP overshot. Meanwhile worked on FWD PRS. ead equipment
6932,15_9_F_12,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_F_12_2007_09_10.pdf,2007-09-10,12:15,0.0,drilling,bop/wellh,ok,6,FISHING(+6),"Attempted to release lock ring on overshot. Used, C-spanner, chain hoists slings ead equipment"
760,15_9_19,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_B_1997_11_24.pdf,1997-11-24,00:00,2131.0,interruption -,,fail,6,WAIT(+1)|state:fail(+5),"CONTINUED W.O.W. WIND PERSISTED AT 16 M/S. SEAS DECAYED TO 4M, HEAVE TO 1.5M WITH OCCASIONAL PEAKS OF 1.8M. MADE UP DIVERTER HANDLING TOOL AND P - waiting on REPARED TO RECONNECT LMRP. weather"
762,15_9_19,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_B_1997_11_24.pdf,1997-11-24,09:00,2131.0,interruption -,,fail,6,WAIT(+1)|state:fail(+5),RIH W/ DP RETRIEVAL STRING. DISPLACED RISER TO 1.53 SG MUD AND FLUSHED BOP BETWEEN SHEAR RAMS AMD LOWER PIPE RAMS. OPENED SR AND MADE UP RET - waiting on RIEVING STRING INTO EDPHOT. weather
